# Start times (UTC-6) for all days of AoC21
# Day 9 was not done in one stretch
1, 2021-11-30 23:00:00
2, 2021-12-01 23:00:00
3, 2021-12-02 23:00:00
4, 2021-12-03 23:00:00
5, 2021-12-04 23:00:00
6, 2021-12-05 23:00:00
7, 2021-12-06 23:00:00
8, 2021-12-07 23:00:00
9, 2021-12-08 23:00:00
10, 2021-12-09 23:00:00
11, 2021-12-10 23:00:00
12, 2021-12-11 23:00:00
13, 2021-12-12 23:00:00
